title	maxNodes	timesteps	depthCategory	sizeVarianceCategory	sizeChangeCategory	dataChangeCategory
gh-websocket-m	40	52	2 or 3 levels	High variance	Low size change	Low data change
wb-AG.LND.AGRI.K2	210	55	2 or 3 levels	High variance	Low size change	Low data change
wb-AG.LND.ARBL.HA	208	55	2 or 3 levels	High variance	Low size change	Low data change
wb-AG.LND.ARBL.HA.PC	208	55	2 or 3 levels	High variance	Low size change	Low data change
wb-AG.LND.ARBL.ZS	208	55	2 or 3 levels	High variance	Low size change	Low data change
wb-AG.LND.CREL.HA	179	56	2 or 3 levels	High variance	Low size change	Low data change
wb-AG.LND.CROP.ZS	197	55	2 or 3 levels	High variance	Low size change	Low data change
wb-AG.LND.FRST.K2	207	26	2 or 3 levels	High variance	Low size change	Low data change
wb-AG.LND.TOTL.K2	216	57	2 or 3 levels	High variance	Low size change	Low data change
wb-AG.SRF.TOTL.K2	217	57	2 or 3 levels	High variance	Low size change	Low data change
wb-EN.ATM.CO2E.KT	206	55	2 or 3 levels	High variance	Low size change	Low data change
wb-EN.ATM.CO2E.LF.KT	205	55	2 or 3 levels	High variance	Low size change	Low data change
wb-EN.POP.DNST	216	57	2 or 3 levels	High variance	Low size change	Low data change
wb-EN.URB.LCTY	151	58	2 or 3 levels	High variance	Low size change	Low data change
wb-EN.URB.MCTY	115	58	2 or 3 levels	High variance	Low size change	Low data change
wb-ER.H2O.INTR.K3	181	12	2 or 3 levels	High variance	Low size change	Low data change
wb-ER.H2O.INTR.PC	181	12	2 or 3 levels	High variance	Low size change	Low data change
wb-FM.AST.DOMS.CN	179	58	2 or 3 levels	High variance	Low size change	Low data change
wb-FM.LBL.BMNY.CN	163	58	2 or 3 levels	High variance	Low size change	Low data change
wb-FP.CPI.TOTL	186	58	2 or 3 levels	High variance	Low size change	Low data change
wb-IP.JRN.ARTC.SC	196	14	2 or 3 levels	High variance	Low size change	Low data change
wb-NE.CON.GOVT.KD	174	58	2 or 3 levels	High variance	Low size change	Low data change
wb-NE.CON.GOVT.KN	161	58	2 or 3 levels	High variance	Low size change	Low data change
wb-NE.CON.PRVT.PP.CD	177	28	2 or 3 levels	High variance	Low size change	Low data change
wb-NE.CON.PRVT.PP.KD	177	28	2 or 3 levels	High variance	Low size change	Low data change
wb-NE.EXP.GNFS.KD	190	58	2 or 3 levels	High variance	Low size change	Low data change
wb-NV.SRV.EMPL.KD	155	27	2 or 3 levels	High variance	Low size change	Low data change
wb-NY.ADJ.DCO2.CD	211	47	2 or 3 levels	High variance	Low size change	Low data change
wb-NY.ADJ.DPEM.GN.ZS	174	27	2 or 3 levels	High variance	Low size change	Low data change
wb-NY.GDP.MKTP.KD	203	58	2 or 3 levels	High variance	Low size change	Low data change
wb-NY.GDP.MKTP.KN	203	58	2 or 3 levels	High variance	Low size change	Low data change
wb-NY.GDP.MKTP.PP.CD	195	28	2 or 3 levels	High variance	Low size change	Low data change
wb-NY.GDP.MKTP.PP.KD	195	28	2 or 3 levels	High variance	Low size change	Low data change
wb-NY.GDP.PCAP.KD	203	58	2 or 3 levels	High variance	Low size change	Low data change
wb-NY.GDP.PCAP.KN	203	58	2 or 3 levels	High variance	Low size change	Low data change
wb-NY.GDP.PCAP.PP.CD	195	28	2 or 3 levels	High variance	Low size change	Low data change
wb-NY.GDP.PCAP.PP.KD	195	28	2 or 3 levels	High variance	Low size change	Low data change
wb-NY.GDY.TOTL.KN	166	58	2 or 3 levels	High variance	Low size change	Low data change
wb-NY.GNP.ATLS.CD	195	56	2 or 3 levels	High variance	Low size change	Low data change
wb-NY.GNP.MKTP.PP.CD	190	28	2 or 3 levels	High variance	Low size change	Low data change
wb-NY.GNP.PCAP.CD	195	56	2 or 3 levels	High variance	Low size change	Low data change
wb-NY.GNP.PCAP.PP.CD	190	28	2 or 3 levels	High variance	Low size change	Low data change
wb-SH.DTH.IMRT	193	57	2 or 3 levels	High variance	Low size change	Low data change
wb-SH.DTH.MORT	193	57	2 or 3 levels	High variance	Low size change	Low data change
wb-SH.DYN.AIDS.ZS	132	27	2 or 3 levels	High variance	Low size change	Low data change
wb-SH.HIV.0014	103	27	2 or 3 levels	High variance	Low size change	Low data change
wb-SH.MMR.DTHS	182	26	2 or 3 levels	High variance	Low size change	Low data change
wb-SH.MMR.RISK	183	26	2 or 3 levels	High variance	Low size change	Low data change
wb-SH.MMR.RISK.ZS	183	26	2 or 3 levels	High variance	Low size change	Low data change
wb-SH.STA.MMRT	183	26	2 or 3 levels	High variance	Low size change	Low data change
wb-SH.STA.ODFC.RU.ZS	127	16	2 or 3 levels	High variance	Low size change	Low data change
wb-SH.STA.ODFC.UR.ZS	125	16	2 or 3 levels	High variance	Low size change	Low data change
wb-SH.STA.ODFC.ZS	148	16	2 or 3 levels	High variance	Low size change	Low data change
wb-SH.XPD.CHEX.PP.CD	188	16	2 or 3 levels	High variance	Low size change	Low data change
wb-SL.GDP.PCAP.EM.KD	184	27	2 or 3 levels	High variance	Low size change	Low data change
wb-SL.TLF.TOTL.IN	187	28	2 or 3 levels	High variance	Low size change	Low data change
wb-SP.POP.0014.FE.IN	194	58	2 or 3 levels	High variance	Low size change	Low data change
wb-SP.POP.0014.MA.IN	194	58	2 or 3 levels	High variance	Low size change	Low data change
wb-SP.POP.0014.TO	194	58	2 or 3 levels	High variance	Low size change	Low data change
wb-SP.POP.1564.FE.IN	194	58	2 or 3 levels	High variance	Low size change	Low data change
wb-SP.POP.1564.MA.IN	194	58	2 or 3 levels	High variance	Low size change	Low data change
wb-SP.POP.1564.TO	194	58	2 or 3 levels	High variance	Low size change	Low data change
wb-SP.POP.65UP.FE.IN	194	58	2 or 3 levels	High variance	Low size change	Low data change
wb-SP.POP.65UP.MA.IN	194	58	2 or 3 levels	High variance	Low size change	Low data change
wb-SP.POP.65UP.TO	194	58	2 or 3 levels	High variance	Low size change	Low data change
wb-SP.POP.TOTL	217	58	2 or 3 levels	High variance	Low size change	Low data change
wb-SP.POP.TOTL.FE.IN	194	58	2 or 3 levels	High variance	Low size change	Low data change
wb-SP.POP.TOTL.MA.IN	194	58	2 or 3 levels	High variance	Low size change	Low data change
wb-SP.RUR.TOTL	208	58	2 or 3 levels	High variance	Low size change	Low data change
wb-SP.URB.TOTL	215	58	2 or 3 levels	High variance	Low size change	Low data change
wb-IS.RRS.PASG.KM	88	37	2 or 3 levels	High variance	Low size change	Regular data change
wb-IS.RRS.TOTL.KM	95	37	2 or 3 levels	High variance	Low size change	Regular data change
earthquake-count-per-lat-long	51	31	2 or 3 levels	High variance	Low size change	Spiky data change
gh-big-list-of-naughty-strings-m	6	16	2 or 3 levels	High variance	Low size change	Spiky data change
gh-chalk-m	15	49	2 or 3 levels	High variance	Low size change	Spiky data change
gh-jquery-weui-m	103	16	2 or 3 levels	High variance	Low size change	Spiky data change
gh-mailinabox-m	71	57	2 or 3 levels	High variance	Low size change	Spiky data change
gh-neural-style-m	3	12	2 or 3 levels	High variance	Low size change	Spiky data change
gh-notes-python-m	7	14	2 or 3 levels	High variance	Low size change	Spiky data change
gh-PapaParse-m	13	50	2 or 3 levels	High variance	Low size change	Spiky data change
gh-react-sortable-hoc-m	22	18	2 or 3 levels	High variance	Low size change	Spiky data change
gh-resume.github.com-m	15	28	2 or 3 levels	High variance	Low size change	Spiky data change
gh-vegeta-m	24	39	2 or 3 levels	High variance	Low size change	Spiky data change
GitHubAnimate	80	50	2 or 3 levels	High variance	Low size change	Spiky data change
GitHubShellcheck	25	53	2 or 3 levels	High variance	Low size change	Spiky data change
GitHubUws	59	122	2 or 3 levels	High variance	Low size change	Spiky data change
tmbd-monthly-count-genres-nogenre	101	31	2 or 3 levels	High variance	Low size change	Spiky data change
tmbd-monthly-count-release-nogenre	101	31	2 or 3 levels	High variance	Low size change	Spiky data change
tmbd-monthly-mean-genres-nogenre	101	31	2 or 3 levels	High variance	Low size change	Spiky data change
tmbd-monthly-mean-release-nogenre	101	31	2 or 3 levels	High variance	Low size change	Spiky data change
wb-AG.AGR.TRAC.NO	158	49	2 or 3 levels	High variance	Low size change	Spiky data change
wb-AG.LND.TRAC.ZS	157	49	2 or 3 levels	High variance	Low size change	Spiky data change
wb-BX.GSR.ROYL.CD	119	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-BX.GSR.TOTL.CD	185	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-EG.USE.CRNW.ZS	134	56	2 or 3 levels	High variance	Low size change	Spiky data change
wb-EG.USE.ELEC.KH.PC	141	55	2 or 3 levels	High variance	Low size change	Spiky data change
